unitid,OPEID,institution_name,addr1_txt,city_txt,state_cd,zip_text,ClassificationCode,classification_name,EFMaleCount,EFFemaleCount,EFTotalCount,sector_cd,sector_name,SPORTSCODE,PARTIC_MEN,PARTIC_WOMEN,SUM_PARTIC_MEN,SUM_PARTIC_WOMEN,OPEXPPERPART_MEN,OPEXPPERTEAM_MEN,OPEXPPERPART_WOMEN,OPEXPPERTEAM_WOMEN,TOTAL_OPEXP_MENWOMEN,SUM_OPEXPPERPART_MEN,SUM_OPEXPPERTEAM_MEN,SUM_OPEXPPERPART_WOMEN,SUM_OPEXPPERTEAM_WOMEN,TOTAL_OPEXP_INCLCOED,MEN_TOTAL_HEADCOACH,WOMEN_TOTAL_HDCOACH,SUM_FTHDCOACH_MALE,SUM_PTHDCOACH_MALE,SUM_FTUNIVEMP_MALE,SUM_PTUNIVEMP_MALE,SUM_FTHDCOACH_FEM,SUM_PTHDCOACH_FEM,SUM_FTUNIVEMP_FEM,SUM_PTUNIVEMP_FEM,SUM_TOTAL_HDCOACH,MEN_TOTAL_ASSTCOACH,WOMEN_TOTAL_ASTCOACH,SUM_FTASCOACH_MALE,SUM_PTASCOACH_MALE,SUM_FTACUNIVEMP_MALE,SUM_PTACUNIVEMP_MALE,SUM_FTASCOACH_FEM,SUM_PTASCOACH_FEM,SUM_FTACUNIVEMP_FEM,SUM_PTACUNIVEMP_FEM,SUM_TOTAL_ASSTCOACH,REV_MEN,REV_WOMEN,TOTAL_REV_MENWOMEN,REVENUE_MENALL,REVENUE_WOMENALL,TOTAL_REVENUE_ALL,EXP_MEN,EXP_WOMEN,TOTAL_EXP_MENWOMEN,EXPENSE_MENALL,EXPENSE_WOMENALL,TOTAL_EXPENSE_ALL,Sports
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",27,26,30,26,30,3243,84324,2626,78770,163094,3243,84324,2626,78770,163094,1,1,2,0,2,0,0,0,0,0,2,1,2,1,0,1,0,1,1,1,1,3,575833,739099,1314932,575833,739099,1314932,549748,723497,1273245,549748,723497,1273245,Water Polo
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",28,32,,32,0,3014,96447,0,0,96447,3014,96447,0,0,96447,1,,1,0,1,0,0,0,0,0,1,1,,1,0,1,0,0,0,0,0,1,1123758,,1123758,1123758,0,1123758,1036743,,1036743,1036743,0,1036743,Wrestling
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",29,,32,0,32,0,0,2280,72974,72974,0,0,2280,72974,72974,,1,1,0,1,0,0,0,0,0,1,,1,0,0,0,0,1,0,1,0,1,,481652,481652,0,481652,481652,,418125,418125,0,418125,418125,Other Sports
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",1,40,,40,0,8676,347052,0,0,347052,8676,347052,0,0,347052,1,,1,0,1,0,0,0,0,0,1,3,,2,1,2,1,0,0,0,0,3,1374589,,1374589,1374589,0,1374589,1214492,,1214492,1214492,0,1214492,Baseball
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",2,16,15,16,15,26742,427866,17298,259470,687336,26742,427866,17298,259470,687336,1,1,2,0,2,0,0,0,0,0,2,3,3,5,0,5,0,1,0,1,0,6,2335821,1478456,3814277,2335821,1478456,3814277,2294887,1475148,3770035,2294887,1475148,3770035,Basketball
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",3,,77,0,77,0,0,1587,122212,122212,0,0,1587,122212,122212,,1,0,0,0,0,0,1,1,0,1,,2,0,2,1,1,0,0,0,0,2,,637613,637613,0,637613,637613,,635474,635474,0,635474,635474,Track and Field and Cross Country (combined)
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",8,,6,0,6,0,0,9416,56494,56494,0,0,9416,56494,56494,,1,0,0,0,0,1,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,,412549,412549,0,412549,412549,,283819,283819,0,283819,283819,Golf
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",15,29,35,29,35,3282,95183,4256,148960,244143,3282,95183,4256,148960,244143,1,1,2,0,2,0,0,0,0,0,2,2,2,1,2,1,2,1,0,1,0,4,684950,804724,1489674,684950,804724,1489674,674775,802274,1477049,674775,802274,1477049,Soccer
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",16,,25,0,25,0,0,7774,194359,194359,0,0,7774,194359,194359,,1,0,0,0,0,1,0,1,0,1,,2,0,0,0,0,1,1,1,1,2,,762726,762726,0,762726,762726,,752500,752500,0,752500,752500,Softball
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",18,23,22,23,22,3108,71480,3895,85699,157179,3108,71480,3895,85699,157179,1,1,0,2,2,0,0,0,0,0,2,5,5,0,4,2,2,0,6,0,6,10,338318,421608,759926,338318,421608,759926,316278,399208,715486,316278,399208,715486,Swimming and Diving (combined)
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",24,20,,20,0,2813,56261,0,0,56261,2813,56261,0,0,56261,1,,0,0,0,0,0,1,1,0,1,2,,0,2,1,1,0,0,0,0,2,271097,,271097,271097,0,271097,266113,,266113,266113,0,266113,Track and Field (Outdoor)
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",26,,18,0,18,0,0,8837,159067,159067,0,0,8837,159067,159067,,1,0,0,0,0,1,0,1,0,1,,2,1,0,1,0,1,0,1,0,2,,958358,958358,0,958358,958358,,947046,947046,0,947046,947046,Volleyball
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",28,32,,32,0,3378,108109,0,0,108109,3378,108109,0,0,108109,1,,1,0,1,0,0,0,0,0,1,2,,1,1,1,1,0,0,0,0,2,872939,,872939,872939,0,872939,678007,,678007,678007,0,678007,Wrestling
110486,799300,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,933111099,3,NCAA Division I without football,2505,4882,7387,1,"Public, 4-year or above",32,,21,0,21,0,0,2223,46681,46681,0,0,2223,46681,46681,,1,1,0,1,0,0,0,0,0,1,,1,0,0,0,0,0,1,0,1,1,,196055,196055,0,196055,196055,,194555,194555,0,194555,194555,Beach Volleyball
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",1,44,,44,0,8918,392392,0,0,392392,8918,392392,0,0,392392,1,,1,0,1,0,0,0,0,0,1,3,,2,1,2,1,0,0,0,0,3,1831206,,1831206,1831206,0,1831206,1831206,,1831206,1831206,0,1831206,Baseball
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",2,13,15,13,15,40328,524258,19470,292046,816304,40328,524258,19470,292046,816304,1,1,2,0,2,0,0,0,0,0,2,3,3,4,0,4,0,2,0,2,0,6,2057901,1391364,3449265,2057901,1391364,3449265,2057901,1391364,3449265,2057901,1391364,3449265,Basketball
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",3,99,146,99,146,2064,204338,1647,240500,444838,2064,204338,1647,240500,444838,1,1,0,2,2,0,0,0,0,0,2,5,5,6,2,6,2,0,2,0,2,10,744535,817806,1562341,744535,817806,1562341,744535,817806,1562341,744535,817806,1562341,Track and Field and Cross Country (combined)
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",8,11,7,11,7,13805,151858,9034,63239,215097,13805,151858,9034,63239,215097,1,1,1,0,1,0,1,0,1,0,2,1,2,0,1,0,1,0,2,0,2,3,523385,437850,961235,523385,437850,961235,523385,437850,961235,523385,437850,961235,Golf
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",15,39,36,39,36,2747,107142,2755,99164,206306,2747,107142,2755,99164,206306,1,1,2,0,2,0,0,0,0,0,2,3,3,3,1,3,1,1,1,1,1,6,718417,922597,1641014,718417,922597,1641014,718417,922597,1641014,718417,922597,1641014,Soccer
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",16,,31,0,31,0,0,9460,293261,293261,0,0,9460,293261,293261,,1,0,0,0,0,1,0,1,0,1,,3,1,0,1,0,1,1,1,1,3,,1413169,1413169,0,1413169,1413169,,1413169,1413169,0,1413169,1413169,Softball
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",22,,9,0,9,0,0,7270,65430,65430,0,0,7270,65430,65430,,1,0,0,0,0,1,0,1,0,1,,1,0,0,0,0,0,1,0,1,1,,459926,459926,0,459926,459926,,459926,459926,0,459926,459926,Tennis
110565,113700,California State University-Fullerton,800 N State College Blvd,Fullerton,CA,928313599,3,NCAA Division I without football,11304,16544,27848,1,"Public, 4-year or above",26,,23,0,23,0,0,5387,123891,123891,0,0,5387,123891,123891,,1,0,0,0,0,1,0,1,0,1,,2,1,0,1,0,1,0,1,0,2,,872823,872823,0,872823,872823,,872823,872823,0,872823,872823,Volleyball
110583,113900,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,908400115,3,NCAA Division I without football,11689,16586,28275,1,"Public, 4-year or above",1,50,,50,0,15318,765915,0,0,765915,15318,765915,0,0,765915,1,,1,0,1,0,0,0,0,0,1,3,,2,1,2,1,0,0,0,0,3,1989512,,1989512,1989512,0,1989512,1989512,,1989512,1989512,0,1989512,Baseball
110583,113900,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,908400115,3,NCAA Division I without football,11689,16586,28275,1,"Public, 4-year or above",2,18,18,18,18,25659,461863,25092,451655,913518,25659,461863,25092,451655,913518,1,1,2,0,2,0,0,0,0,0,2,3,3,5,0,5,0,1,0,1,0,6,2596004,1896338,4492342,2596004,1896338,4492342,2596004,1896338,4492342,2596004,1896338,4492342,Basketball
110583,113900,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,908400115,3,NCAA Division I without football,11689,16586,28275,1,"Public, 4-year or above",3,78,94,78,94,4004,312279,3208,301516,613795,4004,312279,3208,301516,613795,2,2,0,2,2,0,0,2,2,0,4,8,8,0,14,2,12,0,2,0,2,16,833603,910915,1744518,833603,910915,1744518,833603,910915,1744518,833603,910915,1744518,Track and Field and Cross Country (combined)
110583,113900,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,908400115,3,NCAA Division I without football,11689,16586,28275,1,"Public, 4-year or above",8,10,8,10,8,13652,136516,16873,134982,271498,13652,136516,16873,134982,271498,1,1,1,0,1,0,1,0,1,0,2,2,1,0,2,0,2,0,1,0,1,3,491520,471916,963436,491520,471916,963436,491520,471916,963436,491520,471916,963436,Golf
110583,113900,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,908400115,3,NCAA Division I without football,11689,16586,28275,1,"Public, 4-year or above",15,,35,0,35,0,0,2930,102563,102563,0,0,2930,102563,102563,,1,1,0,1,0,0,0,0,0,1,,3,1,1,1,1,1,0,1,0,3,,749548,749548,0,749548,749548,,749548,749548,0,749548,749548,Soccer
110583,113900,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,908400115,3,NCAA Division I without football,11689,16586,28275,1,"Public, 4-year or above",16,,29,0,29,0,0,9293,269506,269506,0,0,9293,269506,269506,,1,0,0,0,0,1,0,1,0,1,,3,1,0,1,0,1,1,1,1,3,,1021567,1021567,0,1021567,1021567,,1021567,1021567,0,1021567,1021567,Softball
110583,113900,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,908400115,3,NCAA Division I without football,11689,16586,28275,1,"Public, 4-year or above",22,,8,0,8,0,0,7688,61506,61506,0,0,7688,61506,61506,,1,0,0,0,0,1,0,1,0,1,,2,0,0,0,0,0,2,0,2,2,,419495,419495,0,419495,419495,,419495,419495,0,419495,419495,Tennis
